knap_id,method,item_count,price,elapsed_ms
9079,FPTAS25,10,1162,0.00533
9079,FPTAS50,10,1217,0.005629
9079,FPTAS75,10,1242,0.005258
9080,Recursive,10,1054,0.111904
9080,BranchAndBound,10,1054,0.075563
9080,Dynamic,10,1054,0.008036
9080,FPTAS25,10,1007,0.003679
9080,FPTAS50,10,1030,0.003298
9080,FPTAS75,10,1041,0.003448
9081,Recursive,10,980,0.095776
9081,BranchAndBound,10,980,0.053197
9081,Dynamic,10,980,0.00724
9081,FPTAS25,10,930,0.003404
9081,FPTAS50,10,954,0.003253
9081,FPTAS75,10,967,0.003963
9082,Recursive,10,952,0.095515
9082,BranchAndBound,10,952,0.053636
9082,Dynamic,10,952,0.005039
9082,FPTAS25,10,911,0.003219
9082,FPTAS50,10,917,0.00303
9082,FPTAS75,10,936,0.003559
9083,Recursive,10,1446,0.095727
9083,BranchAndBound,10,1446,0.039871
9083,Dynamic,10,1446,0.008019
9083,FPTAS25,10,1361,0.006336
9083,FPTAS50,10,1391,0.006226
9083,FPTAS75,10,1421,0.006396
9084,Recursive,10,1196,0.095731
9084,BranchAndBound,10,1196,0.021132
9084,Dynamic,10,1196,0.006752
9084,FPTAS25,10,1134,0.005116
9084,FPTAS50,10,1159,0.00478
9084,FPTAS75,10,1183,0.005761
9085,Recursive,10,1062,0.095874
9085,BranchAndBound,10,1062,0.027009
9085,Dynamic,10,1062,0.006002
9085,FPTAS25,10,999,0.005002
9085,FPTAS50,10,1035,0.004742
9085,FPTAS75,10,1045,0.005504
9086,Recursive,10,748,0.095456
9086,BranchAndBound,10,748,0.038207
9086,Dynamic,10,748,0.00486
9086,FPTAS25,10,696,0.002834
9086,FPTAS50,10,712,0.002747
9086,FPTAS75,10,739,0.002656
9087,Recursive,10,1059,0.09599
9087,BranchAndBound,10,1059,0.069858
9087,Dynamic,10,1059,0.005655
9087,FPTAS25,10,1000,0.003093
9087,FPTAS50,10,1041,0.002917
9087,FPTAS75,10,1041,0.003272
9088,Recursive,10,1578,0.0953
9088,BranchAndBound,10,1578,0.019393
9088,Dynamic,10,1578,0.009211
9088,FPTAS25,10,1499,0.006298
9088,FPTAS50,10,1543,0.006173
9088,FPTAS75,10,1555,0.00631
9089,Recursive,10,694,0.09628
9089,BranchAndBound,10,694,0.07264
9089,Dynamic,10,694,0.006324
9089,FPTAS25,10,650,0.003853
9089,FPTAS50,10,663,0.003848
9089,FPTAS75,10,677,0.003857
9090,Recursive,10,1143,0.098734
9090,BranchAndBound,10,1143,0.027571
9090,Dynamic,10,1143,0.008288
9090,FPTAS25,10,1066,0.006047
9090,FPTAS50,10,1092,0.005825
9090,FPTAS75,10,1117,0.005926
9091,Recursive,10,1043,0.095971
9091,BranchAndBound,10,1043,0.019485
9091,Dynamic,10,1043,0.007333
9091,FPTAS25,10,963,0.006138
9091,FPTAS50,10,999,0.005958
9091,FPTAS75,10,1017,0.005922
9092,Recursive,10,1436,0.096447
9092,BranchAndBound,10,1436,0.023263
9092,Dynamic,10,1436,0.009181
9092,FPTAS25,10,1374,0.004707
9092,FPTAS50,10,1393,0.005031
9092,FPTAS75,10,1424,0.005357
9093,Recursive,10,1368,0.095984
9093,BranchAndBound,10,1368,0.018166
9093,Dynamic,10,1368,0.007914
9093,FPTAS25,10,1306,0.006302
9093,FPTAS50,10,1306,0.006926
9093,FPTAS75,10,1337,0.006918
9094,Recursive,10,1315,0.095818
9094,BranchAndBound,10,1315,0.03864
9094,Dynamic,10,1315,0.008149
9094,FPTAS25,10,1228,0.00717
9094,FPTAS50,10,1285,0.006129
9094,FPTAS75,10,1291,0.006052
9095,Recursive,10,1005,0.099527
9095,BranchAndBound,10,1005,0.04024
9095,Dynamic,10,1005,0.007236
9095,FPTAS25,10,960,0.005774
9095,FPTAS50,10,976,0.005603
9095,FPTAS75,10,987,0.005754
9096,Recursive,10,1187,0.096068
9096,BranchAndBound,10,1187,0.024474
9096,Dynamic,10,1187,0.008066
9096,FPTAS25,10,1138,0.00604
9096,FPTAS50,10,1138,0.005896
9096,FPTAS75,10,1167,0.006535
9097,Recursive,10,959,0.095386
9097,BranchAndBound,10,959,0.04267
9097,Dynamic,10,959,0.007109
9097,FPTAS25,10,884,0.005537
9097,FPTAS50,10,910,0.005479
9097,FPTAS75,10,941,0.005622
9098,Recursive,10,925,0.09558
9098,BranchAndBound,10,925,0.046579
9098,Dynamic,10,925,0.005402
9098,FPTAS25,10,893,0.003645
9098,FPTAS50,10,909,0.003825
9098,FPTAS75,10,919,0.003811
9099,Recursive,10,1243,0.095378
9099,BranchAndBound,10,1243,0.02886
9099,Dynamic,10,1243,0.007582
9099,FPTAS25,10,1183,0.005232
9099,FPTAS50,10,1195,0.004884
9099,FPTAS75,10,1224,0.007327
9100,Recursive,15,2358,4
9100,BranchAndBound,15,2358,0.132059
9100,Dynamic,15,2358,0.190732
9100,FPTAS25,15,2282,0.182387
9100,FPTAS50,15,2303,0.182995
9100,FPTAS75,15,2333,0.191471
9101,Recursive,15,1726,3
9101,BranchAndBound,15,1726,0.219764
9101,Dynamic,15,1726,0.181097
9101,FPTAS25,15,1638,0.167188
9101,FPTAS50,15,1688,0.168953
9101,FPTAS75,15,1700,0.168855
9102,Recursive,15,2064,3
9102,BranchAndBound,15,2064,0.075035
9102,Dynamic,15,2064,0.18529
9102,FPTAS25,15,1973,0.177742
9102,FPTAS50,15,2007,0.216846
9102,FPTAS75,15,2040,0.178015
9103,Recursive,15,1485,3
9103,BranchAndBound,15,1485,0.094774
9103,Dynamic,15,1485,0.183538
9103,FPTAS25,15,1409,0.179496
9103,FPTAS50,15,1444,0.18006
9103,FPTAS75,15,1464,0.179275
9104,Recursive,15,1479,3
9104,BranchAndBound,15,1479,0.122681
9104,Dynamic,15,1479,0.180258
9104,FPTAS25,15,1397,0.172922
9104,FPTAS50,15,1425,0.173142
9104,FPTAS75,15,1449,0.175398
9105,Recursive,15,1852,2
9105,BranchAndBound,15,1852,0.043029
9105,Dynamic,15,1852,0.165519
9105,FPTAS25,15,1744,0.159802
9105,FPTAS50,15,1784,0.206272
9105,FPTAS75,15,1816,0.161119
9106,Recursive,15,1987,2
9106,BranchAndBound,15,1987,0.06436
9106,Dynamic,15,1987,0.158105
9106,FPTAS25,15,1901,0.155704
9106,FPTAS50,15,1926,0.157112
9106,FPTAS75,15,1963,0.166762
9107,Recursive,15,1636,2
9107,BranchAndBound,15,1636,0.063131
9107,Dynamic,15,1636,0.149398
9107,FPTAS25,15,1561,0.146703
9107,FPTAS50,15,1594,0.162582
9107,FPTAS75,15,1618,0.153169
9108,Recursive,15,1664,2
9108,BranchAndBound,15,1664,0.059099
9108,Dynamic,15,1664,0.205239
9108,FPTAS25,15,1579,0.157137
9108,FPTAS50,15,1611,0.16371
9108,FPTAS75,15,1636,0.175648
9109,Recursive,15,1806,2
9109,BranchAndBound,15,1806,0.093922
9109,Dynamic,15,1806,0.156811
9109,FPTAS25,15,1739,0.15564
9109,FPTAS50,15,1755,0.149669
9109,FPTAS75,15,1780,0.149267
9110,Recursive,15,2084,2
9110,BranchAndBound,15,2084,0.068535
9110,Dynamic,15,2084,0.150205
9110,FPTAS25,15,2034,0.14688
9110,FPTAS50,15,2038,0.147757
9110,FPTAS75,15,2066,0.146923
9111,Recursive,15,1454,2
9111,BranchAndBound,15,1454,0.039796
9111,Dynamic,15,1454,0.149357
9111,FPTAS25,15,1396,0.148596
9111,FPTAS50,15,1412,0.150781
9111,FPTAS75,15,1434,0.147868
9112,Recursive,15,1627,2
9112,BranchAndBound,15,1627,0.136945
9112,Dynamic,15,1627,0.176508
9112,FPTAS25,15,1554,0.142023
9112,FPTAS50,15,1566,0.142739
9112,FPTAS75,15,1594,0.143013
9113,Recursive,15,2087,2
9113,BranchAndBound,15,2087,0.699619
9113,Dynamic,15,2087,0.130109
9113,FPTAS25,15,2029,0.124663
9113,FPTAS50,15,2041,0.12546
9113,FPTAS75,15,2066,0.124715
9114,Recursive,15,1778,2
9114,BranchAndBound,15,1778,0.044179
9114,Dynamic,15,1778,0.14964
9114,FPTAS25,15,1720,0.14322
9114,FPTAS50,15,1728,0.144371
9114,FPTAS75,15,1749,0.144436
9115,Recursive,15,1874,2
9115,BranchAndBound,15,1874,0.130788
9115,Dynamic,15,1874,0.14518
9115,FPTAS25,15,1783,0.140657
9115,FPTAS50,15,1812,0.142073
9115,FPTAS75,15,1840,0.140348
9116,Recursive,15,1634,2
9116,BranchAndBound,15,1634,0.05724
9116,Dynamic,15,1634,0.145083
9116,FPTAS25,15,1568,0.144552
9116,FPTAS50,15,1590,0.144321
9116,FPTAS75,15,1616,0.143666
